INFO 2025-06-23 16:52:49,537 basehttp 40064 32084 "GET /api/equipos/ HTTP/1.1" 200 1279
INFO 2025-06-23 16:52:49,541 basehttp 40064 35172 "GET /api/tipos-equipo/ HTTP/1.1" 200 297
INFO 2025-06-23 16:52:49,542 basehttp 40064 36188 "GET /api/users/ HTTP/1.1" 200 241
INFO 2025-06-23 16:52:49,546 basehttp 40064 9408 "GET /api/planes-mantenimiento/ HTTP/1.1" 200 315
INFO 2025-06-23 16:52:49,549 basehttp 40064 32084 "GET /api/equipos/ HTTP/1.1" 200 1279
INFO 2025-06-23 16:52:49,555 basehttp 40064 36188 "GET /api/users/ HTTP/1.1" 200 241
INFO 2025-06-23 16:52:50,450 basehttp 40064 36188 "GET /api/equipos/ HTTP/1.1" 200 1279
INFO 2025-06-23 16:52:50,455 basehttp 40064 36188 "GET /api/equipos/ HTTP/1.1" 200 1279
INFO 2025-06-23 16:52:51,058 basehttp 40064 32084 "GET /api/planes-mantenimiento/ HTTP/1.1" 200 315
INFO 2025-06-23 16:52:51,060 basehttp 40064 36188 "GET /api/equipos/ HTTP/1.1" 200 1279
INFO 2025-06-23 16:52:51,066 basehttp 40064 32084 "GET /api/planes-mantenimiento/ HTTP/1.1" 200 315
INFO 2025-06-23 16:52:51,066 basehttp 40064 9408 "GET /api/users/ HTTP/1.1" 200 241
INFO 2025-06-23 16:52:51,069 basehttp 40064 9408 "GET /api/users/ HTTP/1.1" 200 241
INFO 2025-06-23 16:52:51,082 basehttp 40064 36188 "GET /api/equipos/ HTTP/1.1" 200 1279
INFO 2025-06-23 16:52:52,126 basehttp 40064 36188 "GET /api/equipos/ HTTP/1.1" 200 1279
INFO 2025-06-23 16:52:52,133 basehttp 40064 36188 "GET /api/equipos/ HTTP/1.1" 200 1279
INFO 2025-06-23 16:52:52,599 basehttp 40064 36188 "GET /api/agendas/ HTTP/1.1" 200 52
INFO 2025-06-23 16:52:52,602 basehttp 40064 36188 "GET /api/agendas/ HTTP/1.1" 200 52
INFO 2025-06-23 16:52:53,917 basehttp 40064 36188 "GET /api/roles/ HTTP/1.1" 200 236
INFO 2025-06-23 16:52:53,919 basehttp 40064 36188 "GET /api/roles/ HTTP/1.1" 200 236
INFO 2025-06-23 16:52:53,923 basehttp 40064 36188 "GET /api/users/ HTTP/1.1" 200 241
INFO 2025-06-23 16:52:53,927 basehttp 40064 36188 "GET /api/users/ HTTP/1.1" 200 241
INFO 2025-06-23 16:52:58,216 basehttp 40064 9408 "GET /api/estados-equipo/ HTTP/1.1" 200 312
INFO 2025-06-23 16:52:58,217 basehttp 40064 32084 "GET /api/tipos-equipo/ HTTP/1.1" 200 297
INFO 2025-06-23 16:52:58,218 basehttp 40064 36188 "GET /api/faenas/ HTTP/1.1" 200 442
INFO 2025-06-23 16:52:58,219 basehttp 40064 35172 "GET /api/users/ HTTP/1.1" 200 241
INFO 2025-06-23 16:52:58,221 basehttp 40064 25068 "GET /api/estados-equipo/ HTTP/1.1" 200 312
INFO 2025-06-23 16:52:58,222 basehttp 40064 32084 "GET /api/tipos-equipo/ HTTP/1.1" 200 297
INFO 2025-06-23 16:52:58,225 basehttp 40064 35172 "GET /api/users/ HTTP/1.1" 200 241
INFO 2025-06-23 16:52:58,234 basehttp 40064 36188 "GET /api/faenas/ HTTP/1.1" 200 442
INFO 2025-06-23 16:52:58,252 basehttp 40064 25068 "GET /api/equipos/ HTTP/1.1" 200 1279
INFO 2025-06-23 16:52:58,258 basehttp 40064 25068 "GET /api/equipos/ HTTP/1.1" 200 1279
INFO 2025-06-23 16:52:59,212 basehttp 40064 25068 "GET /api/tipos-equipo/ HTTP/1.1" 200 297
